"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","test_secondary_limit_body_is_detected","tests","2026-09-11","passed","2026-09-11","TestRateLimitDetection","test_rate_limiting","",""
"","1","test_retry_after_header_is_honoured","tests","2026-09-11","passed","2026-09-11","TestRetryBehaviour","test_rate_limiting","",""
"","0","test_writes_are_paced_but_reads_are_not","tests","2026-09-11","passed","2026-09-11","TestRetryBehaviour","test_rate_limiting","",""
"GET /repos/:owner/:repo matches the repository JSON schema.","307","test_get_repo_response_schema","tests","2026-09-11","passed","2026-09-11","TestRepositories","test_repositories","",""
"","0","test_ordinary_statuses_are_not_rate_limits[204]","tests","2026-09-11","passed","2026-09-11","TestRateLimitDetection","test_rate_limiting","",""
"","0","test_throttled_request_is_retried_until_it_succeeds","tests","2026-09-11","passed","2026-09-11","TestRetryBehaviour","test_rate_limiting","",""
"A completely malformed Authorization header should be rejected.","93","test_malformed_auth_header_returns_401","tests","2026-09-11","passed","2026-09-11","TestAuthentication","test_auth","",""
"GET /repos/:owner/:repo/issues/:number matches the issue JSON schema.","174","test_get_issue_response_schema","tests","2026-09-11","passed","2026-09-11","TestIssues","test_issues","",""
"POST /repos/:owner/:repo/issues/:number/labels adds labels.","2096","test_add_label_to_issue","tests","2026-09-11","passed","2026-09-11","TestIssues","test_issues","",""
"","0","test_ordinary_statuses_are_not_rate_limits[404]","tests","2026-09-11","passed","2026-09-11","TestRateLimitDetection","test_rate_limiting","",""
"Setting per_page limits the number of repos returned.","254","test_repos_pagination_per_page","tests","2026-09-11","passed","2026-09-11","TestRepositories","test_repositories","",""
"GET /users/:username/repos returns a list.","473","test_list_user_repos","tests","2026-09-11","passed","2026-09-11","TestUsers","test_users","",""
"DELETE /repos/:owner/:repo returns 204 No Content.

        Creates its own repository rather than taking the shared `test_repo`
        fixture, because it destroys what it is given.

        The creation is asserted before the deletion is attempted. It was not,
        and when the account was being throttled the create silently returned
        403, the delete then correctly reported 404 for a repository that had
        never existed, and the failure read `assert 404 == 204` - which points
        at DELETE, the one call in this test that was working.
        ","3719","test_delete_repo_returns_204","tests","2026-09-11","passed","2026-09-11","TestRepositories","test_repositories","",""
"","1","test_plain_403_is_not_retried","tests","2026-09-11","passed","2026-09-11","TestRetryBehaviour","test_rate_limiting","",""
"
        The one that matters. GitHub uses 403 for ""too fast"" and for ""not
        allowed"", and this suite asserts on the second kind.
        ","0","test_plain_403_is_not_a_rate_limit","tests","2026-09-11","passed","2026-09-11","TestRateLimitDetection","test_rate_limiting","",""
"A request with a garbage token should be rejected.","118","test_invalid_token_returns_401","tests","2026-09-11","passed","2026-09-11","TestAuthentication","test_auth","",""
"GET /users/:username with a bogus username returns 404.","88","test_get_nonexistent_user_returns_404","tests","2026-09-11","passed","2026-09-11","TestUsers","test_users","",""
"","1","test_retry_after_header_is_detected","tests","2026-09-11","passed","2026-09-11","TestRateLimitDetection","test_rate_limiting","",""
"PATCH /repos/:owner/:repo/issues/:number can update the title.","1342","test_update_issue_title","tests","2026-09-11","passed","2026-09-11","TestIssues","test_issues","",""
"The authenticated user payload must contain a login field.","0","test_authenticated_user_has_login","tests","2026-09-11","passed","2026-09-11","TestUsers","test_users","",""
"Public endpoints like /zen work without auth.","157","test_unauthenticated_public_endpoint_returns_200","tests","2026-09-11","passed","2026-09-11","TestAuthentication","test_auth","",""
"GET /repos/:owner/:repo with bogus names returns 404.","72","test_get_nonexistent_repo_returns_404","tests","2026-09-11","passed","2026-09-11","TestRepositories","test_repositories","",""
"POST /repos/:owner/:repo/issues/:number/comments adds a comment.","1041","test_add_comment_to_issue","tests","2026-09-11","passed","2026-09-11","TestIssues","test_issues","",""
"","0","test_ordinary_statuses_are_not_rate_limits[201]","tests","2026-09-11","passed","2026-09-11","TestRateLimitDetection","test_rate_limiting","",""
